,date,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover_rate,symbol
0,2020-12-25,11.39,13.4,13.75,11.0,275835,355241600.0,28.15,37.15,3.63,13.33,SH601956
1,2020-12-28,12.06,12.06,12.06,12.06,36319,43800714.0,0.0,-10.0,-1.34,1.75,SH601956
2,2020-12-29,11.5,10.85,13.0,10.85,584641,684530416.0,17.83,-10.03,-1.21,28.24,SH601956
3,2020-12-30,9.77,9.85,10.6,9.77,496235,490750976.0,7.65,-9.22,-1.0,23.97,SH601956
4,2020-12-31,9.7,9.97,10.55,9.5,409441,406427024.0,10.66,1.22,0.12,19.78,SH601956
5,2021-01-04,9.82,9.65,9.88,9.54,270686,262127184.0,3.41,-3.21,-0.32,13.08,SH601956
6,2021-01-05,9.57,9.15,9.7,9.04,292954,273157968.0,6.84,-5.18,-0.5,14.15,SH601956
7,2021-01-06,9.14,9.26,9.41,8.84,271259,247130691.0,6.23,1.2,0.11,13.1,SH601956
8,2021-01-07,9.06,8.53,9.08,8.5,215327,189442032.0,6.26,-7.88,-0.73,10.4,SH601956
9,2021-01-08,8.5,8.13,8.5,8.06,174684,143269055.0,5.16,-4.69,-0.4,8.44,SH601956
10,2021-01-11,8.1,7.81,8.17,7.62,206756,163036943.0,6.77,-3.94,-0.32,9.99,SH601956
11,2021-01-12,7.78,7.8,7.96,7.65,140396,109904220.0,3.97,-0.13,-0.01,6.78,SH601956
12,2021-01-13,7.81,7.99,8.22,7.62,192696,153173580.0,7.69,2.44,0.19,9.31,SH601956
13,2021-01-14,7.87,8.2,8.44,7.71,188398,153405467.0,9.14,2.63,0.21,9.1,SH601956
14,2021-01-15,8.1,8.22,8.45,8.0,172280,142500442.0,5.49,0.24,0.02,8.32,SH601956
15,2021-01-18,8.1,8.13,8.3,8.05,121089,98568755.0,3.04,-1.09,-0.09,5.85,SH601956
16,2021-01-19,8.2,8.16,8.5,8.11,138015,114207894.0,4.8,0.37,0.03,6.67,SH601956
17,2021-01-20,8.11,7.9,8.27,7.86,158469,127341771.0,5.02,-3.19,-0.26,7.66,SH601956
18,2021-01-21,7.9,7.95,8.1,7.82,129763,103295272.0,3.54,0.63,0.05,6.27,SH601956
19,2021-01-22,7.86,8.75,8.75,7.86,146620,124753397.0,11.19,10.06,0.8,7.08,SH601956
20,2021-01-25,8.97,8.76,9.58,8.62,429908,389844304.0,10.97,0.11,0.01,20.77,SH601956
21,2021-01-26,8.44,8.94,9.24,8.26,295254,260489044.0,11.19,2.05,0.18,14.26,SH601956
22,2021-01-27,8.75,8.7,8.85,8.42,193623,166816303.0,4.81,-2.68,-0.24,9.35,SH601956
23,2021-01-28,8.51,8.15,8.65,8.11,172732,143848560.0,6.21,-6.32,-0.55,8.34,SH601956
24,2021-01-29,8.15,7.91,8.36,7.82,122434,98371547.0,6.63,-2.94,-0.24,5.91,SH601956
25,2021-02-01,7.87,8.22,8.28,7.8,132339,107157006.0,6.07,3.92,0.31,6.39,SH601956
26,2021-02-02,8.17,8.0,8.21,7.95,99580,80052058.0,3.16,-2.68,-0.22,4.81,SH601956
27,2021-02-03,8.03,7.7,8.06,7.66,118451,91968607.0,5.0,-3.75,-0.3,5.72,SH601956
28,2021-02-04,7.62,7.33,7.71,7.19,125252,92263653.0,6.75,-4.81,-0.37,6.05,SH601956
29,2021-02-05,7.34,7.4,7.44,7.23,84907,62229737.0,2.86,0.95,0.07,4.1,SH601956
30,2021-02-08,7.44,7.7,8.14,7.41,200259,158870500.0,9.86,4.05,0.3,9.67,SH601956
31,2021-02-09,7.54,7.6,7.76,7.31,147968,111067838.0,5.84,-1.3,-0.1,7.15,SH601956
32,2021-02-10,7.53,7.46,7.64,7.41,86002,64487728.0,3.03,-1.84,-0.14,4.15,SH601956
33,2021-02-18,7.56,7.67,7.71,7.49,83817,63798916.0,2.95,2.82,0.21,4.05,SH601956
34,2021-02-19,7.63,7.9,7.94,7.59,112300,87343172.0,4.56,3.0,0.23,5.43,SH601956
35,2021-02-22,7.86,7.81,8.06,7.8,140297,111082517.0,3.29,-1.14,-0.09,6.78,SH601956
36,2021-02-23,7.77,7.68,7.83,7.65,79703,61603772.0,2.3,-1.66,-0.13,3.85,SH601956
37,2021-02-24,7.71,7.68,7.8,7.6,76633,59113877.0,2.6,0.0,0.0,3.7,SH601956
38,2021-02-25,7.71,7.63,7.74,7.61,70904,54306570.0,1.69,-0.65,-0.05,3.43,SH601956
39,2021-02-26,7.61,7.46,7.61,7.43,87701,65692666.0,2.36,-2.23,-0.17,4.24,SH601956
40,2021-03-01,7.5,7.64,7.64,7.45,72800,54899466.0,2.55,2.41,0.18,3.52,SH601956
41,2021-03-02,7.66,7.55,7.67,7.49,72034,54438675.0,2.36,-1.18,-0.09,3.48,SH601956
42,2021-03-03,7.56,7.73,7.78,7.48,98185,75122076.0,3.97,2.38,0.18,4.74,SH601956
43,2021-03-04,7.68,7.79,7.81,7.61,102053,78911576.0,2.59,0.78,0.06,4.93,SH601956
44,2021-03-05,7.75,7.81,7.85,7.71,85116,66116665.0,1.8,0.26,0.02,4.11,SH601956
45,2021-03-08,7.84,7.67,7.86,7.64,94211,73137728.0,2.82,-1.79,-0.14,4.55,SH601956
46,2021-03-09,7.68,7.42,7.7,7.41,83264,62561543.0,3.78,-3.26,-0.25,4.02,SH601956
47,2021-03-10,7.48,7.7,7.94,7.37,135345,103750645.0,7.68,3.77,0.28,6.54,SH601956
48,2021-03-11,7.64,7.74,7.77,7.55,92456,71130124.0,2.86,0.52,0.04,4.47,SH601956
49,2021-03-12,7.68,7.82,7.82,7.56,90540,69454593.0,3.36,1.03,0.08,4.37,SH601956
50,2021-03-15,7.88,8.2,8.3,7.83,220037,178759951.0,6.01,4.86,0.38,10.63,SH601956
51,2021-03-16,8.0,8.09,8.17,7.96,145591,117443864.0,2.56,-1.34,-0.11,7.03,SH601956
52,2021-03-17,8.07,7.96,8.07,7.93,102014,81449816.0,1.73,-1.61,-0.13,4.93,SH601956
53,2021-03-18,7.96,8.0,8.04,7.87,84421,67262392.0,2.14,0.5,0.04,4.08,SH601956
54,2021-03-19,7.93,8.3,8.37,7.88,212005,174233616.0,6.13,3.75,0.3,10.24,SH601956
55,2021-03-22,8.38,8.71,9.13,8.38,333792,293953696.0,9.04,4.94,0.41,16.13,SH601956
56,2021-03-23,8.54,8.45,8.8,8.41,197013,168478325.0,4.48,-2.99,-0.26,9.52,SH601956
57,2021-03-24,8.4,8.64,8.65,8.23,166671,140497822.0,4.97,2.25,0.19,8.05,SH601956
58,2021-03-25,8.63,8.38,8.63,8.38,111126,94291476.0,2.89,-3.01,-0.26,5.37,SH601956
59,2021-03-26,8.36,8.38,8.51,8.22,109925,91831780.0,3.46,0.0,0.0,5.31,SH601956
60,2021-03-29,8.34,8.16,8.35,8.13,102179,84193921.0,2.63,-2.63,-0.22,4.94,SH601956
