,date,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover_rate,symbol
0,2022-07-29,69.05,75.0,75.5,68.06,507986,3672526760.0,22.76,129.43,42.31,69.17,SZ301269
1,2022-08-01,73.9,76.01,76.01,71.01,276000,2032983472.0,6.67,1.35,1.01,37.58,SZ301269
2,2022-08-02,73.99,79.7,80.11,72.4,255381,1951572063.0,10.14,4.85,3.69,34.78,SZ301269
3,2022-08-03,78.94,92.02,100.46,77.61,293989,2585294743.0,28.67,15.46,12.32,40.03,SZ301269
4,2022-08-04,93.0,105.0,108.38,92.9,234015,2331802535.0,16.82,14.11,12.98,31.87,SZ301269
5,2022-08-05,106.29,126.0,126.0,106.1,142501,1650455521.0,18.95,20.0,21.0,19.4,SZ301269
6,2022-08-08,140.01,138.0,145.98,117.01,311666,4085220570.0,22.99,9.52,12.0,42.44,SZ301269
7,2022-08-09,128.01,129.98,132.77,124.0,266078,3408740401.0,6.36,-5.81,-8.02,36.23,SZ301269
8,2022-08-10,125.0,123.05,134.4,123.03,248121,3195504884.0,8.75,-5.33,-6.93,33.79,SZ301269
9,2022-08-11,122.3,119.9,127.99,118.2,216727,2665371935.0,7.96,-2.56,-3.15,29.51,SZ301269
10,2022-08-12,117.21,114.87,121.79,111.66,205407,2402492704.0,8.45,-4.2,-5.03,27.97,SZ301269
11,2022-08-15,121.0,121.8,133.5,120.0,280024,3521603914.0,11.75,6.03,6.93,38.13,SZ301269
12,2022-08-16,116.0,125.02,126.43,114.68,209213,2535265416.0,9.65,2.64,3.22,28.49,SZ301269
13,2022-08-17,124.0,117.05,125.0,117.0,188833,2260468150.0,6.4,-6.37,-7.97,25.71,SZ301269
14,2022-08-18,115.23,122.02,126.75,115.23,203349,2464674407.0,9.84,4.25,4.97,27.69,SZ301269
15,2022-08-19,120.08,113.19,124.99,112.22,199226,2334046392.0,10.47,-7.24,-8.83,27.13,SZ301269
16,2022-08-22,109.0,108.89,113.78,107.39,134765,1478813266.0,5.65,-3.8,-4.3,18.35,SZ301269
17,2022-08-23,109.46,110.61,113.94,107.7,114007,1261670665.0,5.73,1.58,1.72,15.52,SZ301269
18,2022-08-24,110.86,111.11,115.48,110.1,142320,1601824919.0,4.86,0.45,0.5,19.38,SZ301269
19,2022-08-25,111.7,97.55,111.8,96.66,182102,1836504538.0,13.63,-12.2,-13.56,24.8,SZ301269
20,2022-08-26,98.12,94.04,99.12,93.88,119596,1152864275.0,5.37,-3.6,-3.51,16.29,SZ301269
21,2022-08-29,92.0,96.8,99.0,91.7,99854,967452934.0,7.76,2.93,2.76,13.6,SZ301269
22,2022-08-30,96.8,95.11,99.69,94.84,76774,745046694.0,5.01,-1.75,-1.69,10.45,SZ301269
23,2022-08-31,95.02,98.02,100.3,95.01,133043,1307190914.0,5.56,3.06,2.91,18.12,SZ301269
24,2022-09-01,99.0,95.2,102.87,94.98,112406,1107985750.0,8.05,-2.88,-2.82,15.31,SZ301269
25,2022-09-02,95.0,98.4,99.48,94.1,105547,1031732339.0,5.65,3.36,3.2,14.37,SZ301269
26,2022-09-05,96.54,95.75,98.27,92.6,98070,935262157.0,5.76,-2.69,-2.65,13.35,SZ301269
27,2022-09-06,95.69,95.84,97.3,93.8,70745,673811589.0,3.66,0.09,0.09,9.63,SZ301269
28,2022-09-07,98.0,104.44,106.46,97.94,175193,1792757625.0,8.89,8.97,8.6,23.86,SZ301269
29,2022-09-08,102.0,102.2,104.3,101.01,94960,974285917.0,3.15,-2.14,-2.24,12.93,SZ301269
30,2022-09-09,103.5,106.5,107.5,101.5,110909,1164973927.0,5.87,4.21,4.3,15.1,SZ301269
31,2022-09-13,106.0,104.23,112.58,103.81,127941,1388791475.0,8.23,-2.13,-2.27,17.42,SZ301269
32,2022-09-14,102.5,109.94,111.3,102.4,129854,1401552883.0,8.54,5.48,5.71,17.68,SZ301269
