,date,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover_rate,symbol
0,2022-12-12,50.0,49.01,50.92,47.08,136414,661991815.0,10.77,37.4,13.34,71.06,SH688143
1,2022-12-13,50.03,49.74,53.0,49.0,77523,396413721.0,8.16,1.49,0.73,40.38,SH688143
2,2022-12-14,48.0,46.36,50.28,45.9,55251,263619815.0,8.81,-6.8,-3.38,28.78,SH688143
3,2022-12-15,45.9,47.7,48.9,44.64,44567,207541090.0,9.19,2.89,1.34,23.22,SH688143
4,2022-12-16,47.0,47.7,49.63,46.28,42108,203208744.0,7.02,0.0,0.0,21.93,SH688143
5,2022-12-19,46.92,48.31,48.48,45.03,21033,97955560.0,7.23,1.28,0.61,10.96,SH688143
6,2022-12-20,48.3,48.71,49.6,47.3,18984,92722968.0,4.76,0.83,0.4,9.89,SH688143
7,2022-12-21,48.0,45.86,48.0,45.86,15627,73040315.0,4.39,-5.85,-2.85,8.14,SH688143
8,2022-12-22,46.73,45.03,46.73,45.0,13124,60196619.0,3.77,-1.81,-0.83,6.84,SH688143
9,2022-12-23,45.38,44.49,45.42,43.11,13061,57669449.0,5.13,-1.2,-0.54,6.8,SH688143
10,2022-12-26,44.49,46.45,47.66,43.59,22897,106535522.0,9.15,4.41,1.96,11.93,SH688143
11,2022-12-27,46.6,45.29,46.97,44.15,33559,152228388.0,6.07,-2.5,-1.16,17.48,SH688143
12,2022-12-28,45.27,43.4,45.77,42.69,22312,98658123.0,6.8,-4.17,-1.89,11.62,SH688143
13,2022-12-29,43.0,45.28,45.87,43.0,15316,68760917.0,6.61,4.33,1.88,7.98,SH688143
14,2022-12-30,45.38,46.62,46.88,45.28,11899,55120645.0,3.53,2.96,1.34,6.2,SH688143
15,2023-01-03,45.94,51.4,54.13,45.94,27521,140162525.0,17.57,10.25,4.78,13.95,SH688143
16,2023-01-04,52.22,52.9,53.62,50.87,14985,78497455.0,5.35,2.92,1.5,7.6,SH688143
17,2023-01-05,52.98,51.29,53.13,51.01,13771,71388996.0,4.01,-3.04,-1.61,6.98,SH688143
18,2023-01-06,51.6,50.2,52.4,49.81,10589,53565128.0,5.05,-2.13,-1.09,5.37,SH688143
19,2023-01-09,50.36,50.36,51.86,49.8,11399,57822197.0,4.1,0.32,0.16,5.78,SH688143
20,2023-01-10,50.29,51.44,51.53,49.32,10459,52695731.0,4.39,2.14,1.08,5.3,SH688143
21,2023-01-11,51.01,52.16,52.64,50.5,7593,39231262.0,4.16,1.4,0.72,3.85,SH688143
22,2023-01-12,51.66,54.05,54.69,50.65,14647,77290792.0,7.75,3.62,1.89,7.43,SH688143
23,2023-01-13,54.02,51.83,54.69,51.27,8505,45031429.0,6.33,-4.11,-2.22,4.31,SH688143
24,2023-01-16,51.62,52.89,53.48,51.6,5846,30753386.0,3.63,2.05,1.06,2.96,SH688143
25,2023-01-17,53.0,52.02,53.02,50.85,6796,35092194.0,4.1,-1.64,-0.87,3.45,SH688143
26,2023-01-18,51.74,54.2,55.09,50.11,14597,76531531.0,9.57,4.19,2.18,7.4,SH688143
27,2023-01-19,53.82,54.8,55.0,52.9,7353,39778302.0,3.87,1.11,0.6,3.73,SH688143
28,2023-01-20,55.19,53.0,56.0,53.0,8434,45865443.0,5.47,-3.28,-1.8,4.28,SH688143
